seedSize,numMutations,computationTime
6735,30,162
7013,30,208
380,30,9
2677,30,53
2683,30,132
483,30,6
472,30,14
1261,30,74
1818,30,54
3813,30,100000
4167,30,143
1095,30,22
1074,30,201
739,30,9
542,30,10
6918,30,873
1273,30,35
14601,30,502
246,30,13
210,30,10
408,30,39
897,30,123
2970,30,39
378,30,8
386,30,6
761,30,60
886,30,14
1293,30,23
230,30,5
379,30,8
1060,30,17
687,30,12
2297,30,27
1944,30,24
1015,30,14
2297,30,55
4366,30,85
664,30,11
2132,30,341
12142,30,568
267,30,4
6429,30,750
1590,30,28
989,30,21
6354,30,154
989,30,34
7133,30,181
6735,30,723
5000,30,136
7013,30,353
7363,30,217
886,30,33
210,30,9
327,30,11
1023,30,71
6357,30,336
9307,30,679
8511,30,218
2194,30,194
1028,30,31
238,30,12
10457,30,1090
16119,30,466
3121,30,69
8101,30,338
2615,30,45
12127,30,556
755,30,14
2681,30,232
10440,30,2839
7287,30,725
6911,30,196
238,30,5
1273,30,39
5150,30,334
7025,30,133
5604,30,1595
1312,30,36
1060,30,31
10440,30,341
441,30,21
909,30,28
2020,30,68
327,30,17
767,30,22
2820,30,78
767,30,73
380,30,11
6095,30,214
579,30,12
2944,30,48
195,30,5
9017,30,482
2970,30,44
3232,30,90
600,30,20
1440,30,2595
2681,30,62
383,30,9
388,30,15
2248,30,45
8944,30,548
2512,30,36
146,30,4
927,30,18
3090,30,105
767,30,42
1635,30,37
1796,30,36
12127,30,333
388,30,12
201,30,5
1015,30,19
146,30,4
807,30,41
432,30,20
14601,30,580
6275,30,162
3092,30,69
3255,30,69
1015,30,22
1261,30,50
7133,30,134
9017,30,584
688,30,8
388,30,14
1074,30,73
273,30,10
3632,30,50
246,30,4
1015,30,17
267,30,11
5649,30,220
13146,30,3065
135,30,1
7815,30,164
187,30,4
808,30,41
386,30,10
7013,30,202
13151,30,290
4366,30,122
187,30,4
429,30,9
4599,30,145
5150,30,198
12142,30,4009
767,30,27
702,30,20
216,30,6
1524,30,69
234,30,6
3813,30,2909
437,30,6
1015,30,12
7363,30,143
934,30,15
7815,30,752
899,30,46
388,30,16
13146,30,296
739,30,18
6166,30,5283
1951,30,263
2147,30,295
10440,30,210
17165,30,584
909,30,8
8045,30,206
7815,30,199
2472,30,40
483,30,9
266,30,16
346,30,18
360,30,20
3121,30,58
1237,30,21
346,30,26
1018,30,21
358,30,9
195,30,3
1447,30,50
5108,30,102
588,30,7
2685,30,37
3121,30,316
419,30,7
808,30,16
2194,30,60
10440,30,276
1326,30,37
1440,30,4260
441,30,10
1447,30,18
684,30,22
684,30,25
3090,30,64
408,30,30
242,30,4
897,30,18
588,30,32
187,30,3
1440,30,19
1200,30,70
7870,30,245
862,30,68
1095,30,11
1228,30,20
10440,30,195
446,30,5
1790,30,31
5649,30,172
6280,30,444
393,30,10
767,30,48
2588,30,31
1590,30,27
1228,30,98
187,30,4
341,30,38
364,30,7
187,30,5
6095,30,1803
927,30,18
568,30,6
1060,30,13
1524,30,17
3632,30,73
1293,30,27
146,30,16
1080,30,27
1144,30,20
500,30,16
989,30,85
6416,30,174
9307,30,384
1060,30,23
1590,30,38
2970,30,112
386,30,10
757,30,18
998,30,47
16119,30,565
2248,30,183
201,30,9
450,30,22
12142,30,342
432,30,27
652,30,17
897,30,16
1951,30,63
6536,30,175
1238,30,84
1424,30,63
579,30,39
7287,30,221
1818,30,86
7870,30,209
757,30,18
7462,30,204
187,30,7
1839,30,53
419,30,10
1499,30,50
1273,30,86
7363,30,172
3006,30,195
341,30,70
585,30,34
735,30,40
273,30,5
1094,30,47
808,30,25
6275,30,2014
648,30,14
360,30,11
1060,30,40
360,30,11
437,30,14
10457,30,1611
673,30,25
697,30,29
5498,30,167
4366,30,181
1023,30,30
579,30,84
1951,30,92
8101,30,2299
326,30,15
437,30,8
9706,30,288
1153,30,39
755,30,16
216,30,4
10456,30,375
743,30,49
3622,30,1128
3576,30,125
1080,30,25
808,30,20
332,30,10
6911,30,513
7025,30,195
899,30,117
6095,30,402
1839,30,103
390,30,6
1238,30,82
808,30,25
6275,30,408
9307,30,496
1590,30,39
2227,30,67
2419,30,56
9018,30,287
2512,30,44
3697,30,153
1873,30,91
767,30,40
341,30,9
216,30,5
5096,30,246
1524,30,49
446,30,13
701,30,20
17207,30,499
13146,30,358
874,30,32
1622,30,168
3813,30,121
2248,30,130
1023,30,36
648,30,14
378,30,15
1593,30,72
8045,30,190
2685,30,99
579,30,13
1836,30,58
1023,30,40
1818,30,49
2820,30,89
5000,30,211
3813,30,113
17165,30,493
934,30,21
10440,30,195
583,30,19
2147,30,142
6416,30,150
326,30,4
588,30,53
609,30,37
5108,30,307
6086,30,639
9706,30,217
6095,30,315
195,30,27
1119,30,23
2147,30,40
