id,numMutations,sampleSize,numFeatures
859,0,10,20
860,0,10,19
861,0,10,20
862,0,10,22
863,0,10,23
864,0,10,20
865,0,10,27
866,0,10,24
867,0,10,19
868,0,10,26
869,0,10,21
870,0,10,20
871,0,10,20
872,0,10,21
873,0,10,19
874,0,10,22
875,0,10,20
876,0,10,26
877,0,10,22
878,0,10,22
879,0,10,17
880,0,10,21
881,0,10,18
882,0,10,22
883,0,10,22
884,0,10,25
885,0,10,18
886,0,10,17
887,0,10,21
888,0,10,22
889,0,10,20
890,0,10,21
891,0,10,22
892,0,10,20
893,0,10,22
894,0,10,21
895,0,10,21
896,0,10,22
897,0,10,14
898,0,10,20
899,0,10,19
900,0,10,14
901,0,10,18
902,0,10,23
903,0,10,24
904,0,10,24
905,0,10,20
906,0,10,25
907,0,10,25
908,0,10,19
909,0,10,23
910,0,10,22
911,0,10,25
912,0,10,20
913,0,10,25
914,0,10,24
915,0,10,26
916,0,10,22
917,0,10,22
918,0,10,22
919,0,10,26
920,0,10,23
921,0,10,24
922,0,10,21
923,0,10,21
924,0,10,22
925,0,10,22
926,0,10,20
927,0,10,20
928,0,10,22
929,0,10,22
930,0,10,24
931,0,10,24
932,0,10,22
933,0,10,20
934,0,10,20
935,0,10,19
936,0,10,23
937,0,10,18
938,0,10,22
939,0,10,23
940,0,10,26
941,0,10,18
942,0,10,20
943,0,10,21
944,0,10,17
945,0,10,27
946,0,10,20
947,0,10,20
948,0,10,20
949,0,10,23
950,0,10,18
951,0,10,28
952,0,10,19
953,0,10,21
954,0,10,20
955,0,10,22
956,0,10,21
957,0,10,20
958,0,10,17
959,0,10,23
960,0,10,20
961,0,10,22
962,0,10,25
963,0,10,14
964,0,10,21
965,0,10,22
966,0,10,17
967,0,10,23
968,0,10,24
969,0,10,22
970,0,10,25
971,0,10,20
972,0,10,19
973,0,10,21
974,0,10,23
975,0,10,22
976,0,10,22
977,0,10,21
978,0,10,24
979,0,10,22
980,0,10,21
981,0,10,24
982,0,10,19
983,0,10,18
984,0,10,20
985,0,10,23
986,0,10,20
987,0,10,19
988,0,10,20
989,0,10,22
990,0,10,21
991,0,10,22
992,0,10,16
993,0,10,23
994,0,10,21
995,0,10,22
996,0,10,23
997,0,10,15
998,0,10,20
999,0,10,22
1000,0,100,29
1001,0,100,27
1002,0,100,28
1003,0,100,29
1004,0,100,28
1005,0,100,29
1006,0,100,29
1007,0,100,31
1008,0,100,27
1009,0,100,27
1010,0,100,26
1011,0,100,29
1012,0,100,28
1013,0,100,30
1014,0,100,28
1015,0,100,26
1016,0,100,29
1017,0,100,29
1018,0,100,27
1019,0,100,29
1020,0,100,28
1021,0,100,26
1022,0,100,28
1023,0,100,29
1024,0,100,27
1025,0,100,30
1026,0,100,29
1027,0,100,29
1028,0,100,30
1029,0,100,30
1030,0,100,30
1031,0,100,30
1032,0,100,29
1033,0,100,30
1034,0,100,26
1035,0,100,31
1036,0,100,30
1037,0,100,28
1038,0,100,26
1039,0,100,26
1040,0,100,30
1041,0,100,30
1042,0,100,29
1043,0,100,28
1044,0,100,28
1045,0,100,29
1046,0,100,29
1047,0,100,29
1048,0,100,31
1049,0,100,30
1050,0,100,30
1051,0,100,28
1052,0,100,25
1053,0,100,29
1054,0,100,27
1055,0,100,29
1056,0,100,27
1057,0,100,29
1058,0,100,30
1059,0,100,30
1060,0,100,31
1061,0,100,29
1062,0,100,28
1063,0,100,31
1064,0,100,28
1065,0,100,31
1066,0,100,30
1067,0,100,32
1068,0,100,30
1069,0,100,26
1070,0,100,30
1071,0,100,27
1072,0,100,27
1073,0,100,30
1074,0,100,30
1075,0,100,30
1076,0,100,30
1077,0,100,26
1078,0,100,30
1079,0,100,25
1080,0,100,29
1081,0,100,28
1082,0,100,30
1083,0,100,25
1084,0,100,29
1085,0,100,29
1086,0,100,27
1087,0,100,26
1088,0,100,27
1089,0,100,29
1090,0,100,24
1091,0,100,28
1092,0,100,26
1093,0,100,29
1094,0,100,27
1095,0,100,29
1096,0,100,30
1097,0,100,29
1098,0,100,30
1099,0,100,28
1100,0,100,30
1101,0,100,30
1102,0,100,29
1103,0,100,29
1104,0,100,26
1105,0,100,30
1106,0,100,30
1107,0,100,29
1108,0,100,30
1109,0,100,27
1110,0,100,29
1111,0,100,30
1112,0,100,28
1113,0,100,30
1114,0,100,31
1115,0,100,26
1116,0,100,29
1117,0,100,28
1118,0,100,30
1119,0,100,30
1120,0,100,30
1121,0,100,26
1122,0,100,30
1123,0,100,29
1124,0,100,30
1125,0,100,24
1126,0,100,29
1127,0,100,29
1128,0,100,30
1129,0,100,29
1130,0,100,25
1131,0,100,28
1132,0,100,28
1133,0,100,29
1134,0,100,29
1135,0,100,27
1136,0,100,26
1137,0,100,29
1138,0,100,29
1139,0,100,29
1140,0,100,29
1141,0,100,26
1142,0,100,27
1143,0,100,29
1144,0,100,31
1145,0,100,29
1146,0,100,28
1147,0,100,29
1148,0,100,28
1149,0,100,30
1150,0,100,30
1151,0,100,28
1152,0,100,30
1153,0,100,24
1154,0,100,29
1155,0,100,29
1156,0,100,25
1157,0,100,30
1158,0,100,30
1159,0,100,30
1160,0,100,29
